attempt_id,user_id,created_at,is_synthetic,target_score,next_percentage,next_pass,previous_score,previous_percentage,previous_2_attempt_avg,previous_3_attempt_avg,previous_5_attempt_avg,overall_previous_avg,median_previous_score,best_previous_score,worst_previous_score,score_range,score_std,ewma_03,ewma_05,recent_score_trend,long_term_score_trend,recent_vs_overall_average,improvement_from_first_attempt,rolling_slope_3,rolling_slope_5,consecutive_improvements,consecutive_declines,total_passes,total_failures,historical_pass_rate,recent_3_pass_rate,consecutive_passes,consecutive_failures,attempt_order_by_user,total_previous_attempts,attempts_last_7_days,attempts_last_14_days,attempts_last_30_days,average_days_between_attempts,time_gap_std,days_since_previous_attempt,days_since_first_attempt,attempt_frequency,previous_easy_count,previous_medium_count,previous_hard_count,previous_hard_ratio,previous_average_easy_score,previous_average_medium_score,previous_average_hard_score,difficulty_transition_delta,difficulty_easy,difficulty_medium,difficulty_hard,unique_videos_seen,total_previous_video_interactions,repeated_video_ratio,number_of_videos_in_recent_attempts
735,3,2026-04-03 17:14:09.062035,1,19,63.33,0,26.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,0.0,0.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0,1,2,1,1,1,1,0.0,0.0,1.2083333333333333,1.2083333333333333,0.45283018867924535,1,0,0,0.0,65.0,65.0,65.0,1.0,0,1,0,1,1,0.0,1
736,3,2026-04-08 20:14:09.062035,1,12,60.0,0,19.0,63.33,64.16499999999999,64.16499999999999,64.16499999999999,64.16499999999999,64.16499999999999,65.0,63.33,1.6700000000000017,1.1808683245815357,64.499,64.16499999999999,-1.6700000000000017,-1.6700000000000017,0.0,-1.6700000000000017,0.0,0.0,0,1,0,2,0.0,0.0,0,2,3,2,2,2,2,1.2083333333333333,0.0,5.125,6.333333333333333,0.27272727272727276,1,1,0,0.0,65.0,63.33,64.16499999999999,1.0,0,0,1,2,2,0.0,1
737,3,2026-04-16 05:14:09.062035,1,19,63.33,0,12.0,60.0,61.665,62.776666666666664,62.776666666666664,62.776666666666664,63.33,65.0,60.0,5.0,2.545512391117618,63.1493,62.082499999999996,-3.3299999999999983,-5.0,-1.1116666666666646,-5.0,-2.4999999999999996,-2.4999999999999996,0,2,0,3,0.0,0.0,0,3,4,3,0,3,3,3.1666666666666665,2.769501559647311,7.375,13.708333333333334,0.20396600566572237,1,1,1,0.3333333333333333,65.0,63.33,60.0,0.0,0,0,1,2,3,0.33333333333333337,1
738,3,2026-04-18 15:14:09.062035,1,19,76.0,1,19.0,63.33,61.665,62.22,62.91499999999999,62.91499999999999,63.33,65.0,60.0,5.0,2.096735557956701,63.203509999999994,62.70625,3.3299999999999983,-1.6700000000000017,-1.249999999999993,-1.6700000000000017,0.0,0.0,1,0,0,4,0.0,0.0,0,4,5,4,1,2,4,4.569444444444444,3.120645113742658,2.4166666666666665,16.125,0.23357664233576642,1,1,2,0.5,65.0,63.33,61.665,-2.0,1,0,0,3,4,0.25,1
739,3,2026-04-19 16:14:09.062035,1,36,72.0,1,19.0,76.0,69.66499999999999,66.44333333333333,65.532,65.532,63.33,76.0,60.0,16.0,6.127044148690297,67.042457,69.353125,12.670000000000002,11.0,4.132999999999996,11.0,8.000000000000002,2.2,2,0,1,4,0.2,0.3333333333333333,1,0,6,5,2,3,5,4.03125,2.766025486278234,1.0416666666666667,17.166666666666668,0.2752293577981651,2,1,2,0.4,70.5,63.33,61.665,1.0,0,1,0,3,5,0.4,1
741,4,2026-07-03 06:14:09.062147,1,23,57.5,0,11.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,0.0,0.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0,1,2,1,1,1,1,0.0,0.0,3.2083333333333335,3.2083333333333335,0.23762376237623759,0,0,1,1.0,55.0,55.0,55.0,0.0,0,0,1,1,1,0.0,1
742,4,2026-07-07 07:14:09.062147,1,20,66.67,0,23.0,57.5,56.25,56.25,56.25,56.25,56.25,57.5,55.0,2.5,1.7677669529663689,55.75,56.25,2.5,2.5,0.0,2.5,0.0,0.0,1,0,0,2,0.0,0.0,0,2,3,2,1,2,2,3.2083333333333335,0.0,4.041666666666667,7.25,0.24242424242424243,0,0,2,1.0,56.25,56.25,56.25,-1.0,0,1,0,2,2,0.0,1
743,4,2026-07-11 11:14:09.062147,1,29,72.5,1,20.0,66.67,62.085,59.723333333333336,59.723333333333336,59.723333333333336,57.5,66.67,55.0,11.670000000000002,6.1444799074725065,59.025999999999996,61.46,9.170000000000002,11.670000000000002,2.3616666666666646,11.670000000000002,5.834999999999993,5.834999999999993,2,0,0,3,0.0,0.0,0,3,4,3,1,3,3,3.625,0.5892556509887897,4.166666666666667,11.416666666666666,0.24161073825503357,0,1,2,0.6666666666666666,59.723333333333336,66.67,56.25,-1.0,1,0,0,2,3,0.33333333333333337,1
744,4,2026-07-18 17:14:09.062147,1,17,68.0,0,29.0,72.5,69.58500000000001,65.55666666666667,62.917500000000004,62.917500000000004,62.085,72.5,55.0,17.5,8.122841764637135,63.0682,66.98,5.829999999999998,17.5,6.667500000000004,17.5,7.499999999999999,7.499999999999999,3,0,1,3,0.25,0.3333333333333333,1,0,5,4,0,2,4,3.805555555555556,0.5209722037086404,7.25,18.666666666666668,0.20338983050847456,1,1,2,0.5,72.5,66.67,56.25,1.0,0,1,0,2,4,0.5,1
745,4,2026-07-20 20:14:09.062147,1,26,65.0,0,17.0,68.0,70.25,69.05666666666667,63.934000000000005,63.934000000000005,66.67,72.5,55.0,17.5,7.392684221580144,64.54774,67.49000000000001,-4.5,13.0,6.315999999999995,13.0,0.6649999999999954,4.1000000000000005,0,1,1,4,0.2,0.3333333333333333,0,1,6,5,1,3,5,4.666666666666667,1.7739759696063362,2.125,20.791666666666668,0.2294455066921606,1,2,2,0.4,72.5,67.33500000000001,56.25,0.0,0,1,0,3,5,0.4,1
746,4,2026-07-23 04:14:09.062147,1,36,72.0,1,26.0,65.0,66.5,68.5,65.934,64.11166666666666,65.83500000000001,72.5,55.0,17.5,6.626523724145765,64.683418,66.245,-3.0,10.0,2.3883333333333354,10.0,-3.7499999999999902,1.632999999999998,0,2,1,5,0.16666666666666666,0.3333333333333333,0,2,7,6,2,3,6,4.158333333333333,1.9110878955308268,2.3333333333333335,23.125,0.24870466321243523,1,3,2,0.3333333333333333,72.5,66.55666666666667,56.25,-1.0,1,0,0,3,6,0.5,1
