attempt_id,user_id,attempt_order_by_user,score,total_questions,percentage,difficulty,video_count,video_ids,created_at,is_synthetic
1,1,1,6,10,60.0,Medium,1,10,2026-08-10 14:11:58.879817,1
675,1,2,3,10,30.0,Medium,1,1,2026-08-10 19:09:51.822186,1
676,1,3,3,10,30.0,Medium,1,10,2026-08-10 19:10:14.115351,1
678,1,4,3,10,30.0,Medium,1,1,2026-08-10 19:10:59.270709,1
683,1,5,2,2,100.0,Medium,1,1,2026-08-10 19:34:21.015312,1
684,1,6,2,4,50.0,Medium,1,1,2026-08-10 19:34:21.307503,1
685,1,7,0,1,0.0,Medium,1,1,2026-08-10 19:34:24.835991,1
687,1,8,2,2,100.0,Medium,1,1,2026-08-10 19:35:00.843937,1
688,1,9,2,4,50.0,Medium,1,1,2026-08-10 19:35:01.121466,1
689,1,10,0,1,0.0,Medium,1,1,2026-08-10 19:35:04.463102,1
690,1,11,2,5,40.0,Medium,1,1,2026-08-10 19:35:11.514300,1
691,1,12,2,5,40.0,Medium,1,1,2026-08-10 19:41:55.549375,1
692,1,13,2,2,100.0,Medium,1,1,2026-08-10 19:41:59.029082,1
693,1,14,2,2,100.0,Medium,1,1,2026-08-10 19:42:09.550153,1
694,1,15,2,4,50.0,Medium,1,1,2026-08-10 19:42:09.770658,1
695,1,16,0,1,0.0,Medium,1,1,2026-08-10 19:42:12.819580,1
697,1,17,2,2,100.0,Medium,1,1,2026-08-10 19:54:14.058830,1
698,1,18,2,4,50.0,Medium,1,1,2026-08-10 19:54:14.323270,1
699,1,19,0,1,0.0,Medium,1,1,2026-08-10 19:54:17.791081,1
700,1,20,2,5,40.0,Medium,1,1,2026-08-10 19:54:25.384422,1
701,1,21,2,2,100.0,Medium,1,1,2026-08-10 19:54:40.882008,1
702,1,22,2,4,50.0,Medium,1,1,2026-08-10 19:54:41.138744,1
703,1,23,0,1,0.0,Medium,1,1,2026-08-10 19:54:44.158164,1
705,1,24,2,5,40.0,Medium,1,1,2026-08-10 19:56:55.432820,1
706,1,25,2,2,100.0,Medium,1,1,2026-08-10 19:57:09.025802,1
707,1,26,2,4,50.0,Medium,1,1,2026-08-10 19:57:09.397213,1
708,1,27,0,1,0.0,Medium,1,1,2026-08-10 19:57:12.166530,1
710,1,28,5,10,50.0,Medium,10,"1,2,3,4,5,6,7,8,9,10",2026-08-11 09:18:00.686046,1
711,1,29,2,2,100.0,Medium,1,1,2026-08-11 09:23:17.939282,1
712,1,30,0,1,0.0,Medium,1,1,2026-08-11 09:23:18.225193,1
713,1,31,1,4,25.0,Medium,1,1,2026-08-11 09:23:26.677855,1
714,1,32,2,2,100.0,Medium,1,1,2026-08-11 09:23:40.577130,1
715,1,33,0,1,0.0,Medium,1,1,2026-08-11 09:23:40.827556,1
717,1,34,6,10,60.0,Medium,10,"1,2,3,4,5,6,7,8,9,10",2026-08-11 09:28:54.889765,1
718,1,35,2,2,100.0,Medium,1,1,2026-08-11 10:01:26.488338,1
719,1,36,0,1,0.0,Medium,1,1,2026-08-11 10:01:26.754229,1
720,1,37,8,10,80.0,Medium,1,10,2026-08-11 10:01:53.981116,1
721,1,38,8,10,80.0,Medium,1,10,2026-08-11 10:21:27.538735,1
722,1,39,2,2,100.0,Medium,1,1,2026-08-11 10:21:37.094540,1
723,1,40,0,1,0.0,Medium,1,1,2026-08-11 10:21:37.312278,1
724,1,41,8,10,80.0,Medium,1,10,2026-08-11 10:45:47.902791,1
725,1,42,2,2,100.0,Medium,1,1,2026-08-11 10:45:56.502973,1
726,1,43,0,1,0.0,Medium,1,1,2026-08-11 10:45:56.725829,1
727,1,44,8,10,80.0,Medium,10,"1,2,3,4,5,6,7,8,9,10",2026-08-11 10:53:29.409706,1
3,2,1,8,10,80.0,Medium,2,"11,12",2026-08-10 15:45:15.272509,1
679,2,2,3,10,30.0,Medium,1,11,2026-08-10 19:10:59.466992,1
4,3,1,1,10,10.0,Medium,1,13,2026-08-10 15:55:38.688248,1
671,3,2,6,10,60.0,Medium,1,13,2026-08-10 18:44:56.049108,1
674,3,3,3,10,30.0,Medium,1,13,2026-08-10 19:08:15.136172,1
680,3,4,3,10,30.0,Medium,1,13,2026-08-10 19:10:59.471939,1
682,3,5,6,10,60.0,Medium,1,13,2026-08-10 19:17:15.917704,1
5,4,1,6,10,55.0,Easy,1,14,2026-07-01 15:00:00.000000,1
6,4,2,6,10,60.0,Medium,2,"15,16",2026-07-04 16:00:00.000000,1
7,4,3,6,10,60.0,Medium,1,16,2026-07-07 17:00:00.000000,1
8,4,4,6,10,65.0,Medium,2,"14,15",2026-07-10 10:00:00.000000,1
9,4,5,7,10,70.0,Medium,1,15,2026-07-13 11:00:00.000000,1
10,4,6,7,10,70.0,Medium,2,"14,16",2026-07-16 12:00:00.000000,1
11,4,7,8,10,75.0,Hard,1,14,2026-07-19 13:00:00.000000,1
12,4,8,8,10,80.0,Hard,2,"15,16",2026-07-22 14:00:00.000000,1
670,4,9,8,10,80.0,Medium,1,16,2026-08-10 18:18:32.570259,1
672,4,10,7,10,70.0,Medium,1,14,2026-08-10 18:50:51.185479,1
673,4,11,8,10,80.0,Medium,1,16,2026-08-10 18:51:23.737621,1
677,4,12,8,10,80.0,Medium,1,16,2026-08-10 19:10:40.741065,1
681,4,13,3,10,30.0,Medium,1,14,2026-08-10 19:10:59.477182,1
686,4,14,8,10,80.0,Medium,1,16,2026-08-10 19:34:31.932817,1
696,4,15,8,10,80.0,Medium,1,16,2026-08-10 19:42:17.814562,1
704,4,16,8,10,80.0,Medium,1,16,2026-08-10 19:54:49.871837,1
709,4,17,8,10,80.0,Medium,1,16,2026-08-10 19:57:18.202352,1
716,4,18,8,10,80.0,Medium,1,16,2026-08-11 09:23:46.240548,1
13,5,1,8,10,85.0,Easy,1,17,2026-07-03 16:00:00.000000,1
14,5,2,8,10,80.0,Medium,2,"18,19",2026-07-06 17:00:00.000000,1
15,5,3,9,10,90.0,Medium,1,19,2026-07-09 10:00:00.000000,1
