feature_set,feature_count,model,group_kfold_mae,group_kfold_mae_std,group_kfold_rmse,group_kfold_r2,unseen_user_mae,unseen_user_rmse,unseen_user_r2,temporal_mae,temporal_rmse,temporal_r2
A_CURRENT,52,Historical Mean Baseline,11.187,0.959,13.459,-0.0258,10.63,13.23,-0.0111,12.672,15.318,-0.0387
A_CURRENT,52,Most Recent Score Baseline,5.275,0.493,6.779,0.7385,5.142,6.459,0.759,5.155,6.408,0.8182
A_CURRENT,52,Recent 3-Attempt Avg Baseline,7.002,0.49,8.474,0.5868,7.402,8.723,0.5605,7.375,8.615,0.6715
A_CURRENT,52,Ridge Regression,3.621,0.385,4.822,0.8682,3.044,3.783,0.9173,3.215,4.114,0.9251
A_CURRENT,52,Random Forest Regressor,3.888,0.432,5.066,0.8544,3.287,4.085,0.9036,3.778,4.693,0.9025
A_CURRENT,52,Gradient Boosting Regressor,3.831,0.38,5.027,0.8569,3.229,4.069,0.9043,3.599,4.572,0.9075
A_CURRENT,52,Extra Trees Regressor,3.807,0.395,5.004,0.8584,3.175,3.93,0.9108,3.701,4.573,0.9074
A_CURRENT,52,HistGradientBoosting Regressor,3.835,0.39,5.065,0.8545,3.221,4.036,0.9059,3.761,4.603,0.9062
B_NO_FREQUENCY,51,Historical Mean Baseline,11.187,0.959,13.459,-0.0258,10.63,13.23,-0.0111,12.672,15.318,-0.0387
B_NO_FREQUENCY,51,Most Recent Score Baseline,5.275,0.493,6.779,0.7385,5.142,6.459,0.759,5.155,6.408,0.8182
B_NO_FREQUENCY,51,Recent 3-Attempt Avg Baseline,7.002,0.49,8.474,0.5868,7.402,8.723,0.5605,7.375,8.615,0.6715
B_NO_FREQUENCY,51,Ridge Regression,3.609,0.39,4.809,0.8688,3.023,3.768,0.918,3.222,4.123,0.9247
B_NO_FREQUENCY,51,Random Forest Regressor,3.867,0.438,5.035,0.8562,3.286,4.084,0.9036,3.773,4.679,0.9031
B_NO_FREQUENCY,51,Gradient Boosting Regressor,3.831,0.368,5.029,0.8569,3.285,4.079,0.9039,3.733,4.654,0.9041
B_NO_FREQUENCY,51,Extra Trees Regressor,3.823,0.428,5.006,0.8584,3.172,3.896,0.9123,3.674,4.594,0.9066
B_NO_FREQUENCY,51,HistGradientBoosting Regressor,3.842,0.384,5.051,0.8554,3.187,4.028,0.9063,3.817,4.631,0.9051
C_NO_FREQUENCY_AND_RATE,45,Historical Mean Baseline,11.187,0.959,13.459,-0.0258,10.63,13.23,-0.0111,12.672,15.318,-0.0387
C_NO_FREQUENCY_AND_RATE,45,Most Recent Score Baseline,5.275,0.493,6.779,0.7385,5.142,6.459,0.759,5.155,6.408,0.8182
C_NO_FREQUENCY_AND_RATE,45,Recent 3-Attempt Avg Baseline,7.002,0.49,8.474,0.5868,7.402,8.723,0.5605,7.375,8.615,0.6715
C_NO_FREQUENCY_AND_RATE,45,Ridge Regression,3.588,0.381,4.793,0.8697,3.014,3.753,0.9186,3.228,4.136,0.9243
C_NO_FREQUENCY_AND_RATE,45,Random Forest Regressor,3.848,0.423,5.023,0.8569,3.279,4.068,0.9044,3.781,4.693,0.9025
C_NO_FREQUENCY_AND_RATE,45,Gradient Boosting Regressor,3.76,0.326,4.966,0.8603,3.275,4.089,0.9034,3.629,4.507,0.9101
C_NO_FREQUENCY_AND_RATE,45,Extra Trees Regressor,3.807,0.391,4.985,0.8594,3.131,3.888,0.9127,3.664,4.621,0.9055
C_NO_FREQUENCY_AND_RATE,45,HistGradientBoosting Regressor,3.813,0.423,5.034,0.8563,3.189,4.055,0.905,3.779,4.587,0.9069
D_CORE_LEARNING,38,Historical Mean Baseline,11.187,0.959,13.459,-0.0258,10.63,13.23,-0.0111,12.672,15.318,-0.0387
D_CORE_LEARNING,38,Most Recent Score Baseline,5.275,0.493,6.779,0.7385,5.142,6.459,0.759,5.155,6.408,0.8182
D_CORE_LEARNING,38,Recent 3-Attempt Avg Baseline,7.002,0.49,8.474,0.5868,7.402,8.723,0.5605,7.375,8.615,0.6715
D_CORE_LEARNING,38,Ridge Regression,3.559,0.381,4.759,0.8717,2.993,3.697,0.9211,3.182,4.065,0.9268
D_CORE_LEARNING,38,Random Forest Regressor,3.847,0.431,5.024,0.8569,3.267,4.066,0.9045,3.692,4.659,0.9039
D_CORE_LEARNING,38,Gradient Boosting Regressor,3.762,0.374,4.985,0.8593,3.265,4.138,0.9011,3.592,4.446,0.9125
D_CORE_LEARNING,38,Extra Trees Regressor,3.8,0.392,4.964,0.8606,3.125,3.894,0.9124,3.602,4.569,0.9076
D_CORE_LEARNING,38,HistGradientBoosting Regressor,3.829,0.392,5.019,0.8573,3.238,3.977,0.9086,3.698,4.545,0.9085
